Area,Perimeter,Compactness,Kernel Length,Kernel Width,Asymmetry,Groove Length,Variety
18.81,16.29,0.8906,6.272,3.693,3.237,6.053,
14.01,14.29,0.8625,5.609,3.158,2.217,5.132,
12.02,13.33,0.8503,5.35,2.81,4.271,5.308,
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,
20.1,16.99,0.8746,6.581,3.785,1.955,6.449,
20.03,16.9,0.8811,6.493,3.857,3.063,6.32,
13.84,13.94,0.8955,5.324,3.379,2.259,4.805,
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,
12.1,13.15,0.8793,5.105,2.941,2.201,5.056,
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,
11.82,13.4,0.8274,5.314,2.777,4.471,5.178,
